#OTU ID	F1701173	F1701181	F1701186	F1701170	F1701176	F1701175	F1701179	F1701178	F1701177	F1701183	F1701184	F1701172	F1701182
Clostridium_IV	0	13	30	54	50	0	77	113	83	293	115	0	378
Porphyromonas	49	0	0	11	6	0	0	10	12	0	1	7	0
Selenomonas	0	67	0	0	31	0	242	63	169	11	17	0	40
Pseudomonas	199	0	0	0	0	0	0	0	0	0	0	3	0
Atopobium	0	2	1	2	1	0	5	6	8	6	15	1	25
Clostridium_XI	0	123	0	0	0	0	0	2	0	0	0	0	0
Howardella	0	1	0	0	1	0	10	4	9	0	0	0	0
Ruminococcus2	24	1622	137	347	1521	1	4129	778	1944	43	22	6	38
Coprococcus	0	481	41	63	425	0	1144	305	475	1	4	0	1
Corynebacterium	0	0	0	5	46	0	0	7	0	0	0	0	0
Helicobacter	0	0	0	0	2	0	0	4	3	0	0	0	0
Megamonas	1	0	0	3962	1	0	0	2	3	0	3	1	0
Sutterella	209	0	0	0	0	19	0	0	2	0	0	38	0
Parabacteroides	3285	797	754	828	641	4120	323	712	583	649	620	1995	10
Lachnoanaerobaculum	13	0	0	0	0	2	1	1	2	1	1	2	2
Enterococcus	924	13	9	21	14	106	66	18	39	18	12	147	39
Lautropia	5	0	0	0	0	0	0	0	0	0	0	0	0
Megasphaera	5	5	17	240	3	0	12	25	40	37	48	1	166
Blautia	5	622	396	153	326	1	517	263	685	39	73	0	204
Weissella	0	0	0	16	0	0	0	0	0	0	0	0	2
Bilophila	0	98	159	127	65	0	80	87	97	119	27	0	276
Fretibacterium	0	2	0	0	5	0	18	14	24	0	0	0	0
Cetobacterium	0	0	3	0	0	0	0	0	0	8	0	0	0
Peptostreptococcus	15	91	25	0	152	1	628	97	278	23	1	0	10
Sphingomonas	0	0	0	0	0	0	2	0	0	1	7	0	0
Alloprevotella	29	0	0	0	2	0	3	18	40	5	2	2	0
Alloscardovia	0	1	0	5	0	0	0	0	0	0	0	0	0
Anaerostipes	5	11	308	29	14	1	30	8	20	20	55	1	170
Bacteroides	5805	8654	11042	10525	11837	12187	6868	7513	7117	7222	10670	12458	154
Campylobacter	1	3	0	4	1	0	17	10	15	6	3	1	13
Butyricimonas	0	0	33	76	0	0	0	0	0	8	11	0	1
Anaeroglobus	0	0	0	51	0	0	0	2	2	0	1	0	1
Streptococcus	227	57	68	2774	59	15	74	77	152	113	111	51	463
Roseburia	2	44	1342	918	5	0	11	23	39	1822	1306	3	1760
Prevotella	342	34	0	0	55	0	117	244	661	40	11	41	32
Intestinimonas	0	188	0	29	83	0	283	84	124	0	0	0	0
Rothia	68	2	2	59	1	4	3	3	5	1	3	3	21
Erysipelotrichaceae_incertae_sedis	0	0	0	33	0	0	0	0	1	0	0	0	0
Hungatella	166	21	15	109	17	30	25	61	76	39	18	40	63
Treponema	0	0	0	0	1	0	2	2	4	0	0	0	0
Collinsella	299	1195	541	0	255	32	697	200	424	1402	954	173	2675
Aeromonas	0	0	2	0	0	0	0	0	0	32	0	0	0
Gemmiger	0	0	145	0	0	0	1	0	2	0	0	1	0
Clostridium_sensu_stricto	35	5	16	28	5	6	102	12	18	0	0	10	1
Pseudoflavonifractor	0	2	7	8	2	0	1	1	2	162	58	0	67
Peptoniphilus	0	0	0	0	9	0	0	5	0	1	0	0	1
Parasutterella	0	746	0	425	460	0	1565	1066	636	0	0	0	0
Abiotrophia	27	0	2	0	0	21	0	0	0	0	2	0	2
Shewanella	4	0	0	0	0	3	0	0	1	0	0	0	0
Odoribacter	0	51	0	145	99	0	21	170	66	0	0	0	0
Anaerotruncus	8	15	2	3	25	0	93	32	32	4	2	5	7
Eisenbergiella	0	0	2	156	4	0	2	5	2	0	2	0	3
Leptotrichia	105	14	0	0	11	0	8	7	35	2	3	4	7
Faecalibacterium	614	2582	3590	1447	1346	10	2503	3995	4616	277	285	435	170
Dialister	0	51	0	126	42	1	237	63	104	0	1	0	1
Phascolarctobacterium	0	620	2155	1	202	0	583	370	585	1038	994	1	2969
Catabacter	0	0	0	5	0	0	0	0	0	1	0	1	0
Desulfovibrio	0	0	0	22	0	0	0	0	0	0	0	0	4
Actinomyces	20	5	11	20	5	20	2	9	20	66	69	0	268
Dorea	0	785	93	284	798	0	1991	787	797	391	346	0	581
Fusicatenibacter	2	359	27	4	55	0	92	72	148	19	17	1	83
